name,surname,gender,email,phone_number,address,level_of_education,income_level,expenditure,currency_unit,currentMood,height,weight
James😏,Butt,M,jbutt@gmail.com,504-845-1427,7 W Cerritos Ave #54,MSc,14187,2528,$,😊,1.33,68
Güliz🚲,Şen,F,guliz_sen@hotmail.com,504-845-1428,6 W Cerritos Ave #54,BSc,463,2290,₺,☹,1.17,53
Art,Venere,M,art.venere@hotmail.com,856-264-4130,8 W Cerritos Ave #54,PhD,13009,3035,$,😊,2,72
Lenna,Paprocki,F,lpaprocki@hotmail.com,907-921-2010,639 Main St,HS,7859,6743,$,😭,1.2,75
Donette💰,Foller,M,donette.foller@gmail.com,513-549-4561,34 Center St,HS,6959,8186,€,😄,1.57,82
Simona,Morasca,M,simona@yahoo.com,513-549-4562,3 Mcauley Dr,MSc,7106,6348,€,😊,1.36,86
Mitsue,Tollner,M,mitsue_tollner@yahoo.com,773-924-8565,7 Eads St,MSc,2301,4707,₺,😊,1.44,46
Aslı,Çağlar,F,aslicaglar@hotmail.com,408-813-1105,7 W Jackson Blvd,PhD,1383,3265,$,☹,1.12,56
Sage,Wieser,M,sage_wieser@gmail.com,408-813-1106,10 W Cerritos Ave #54,HS,7628,5609,€,😭,1.91,78
Kris,Marrier,M,sage_wieser@gmail.com,605-794-4895,228 Runamuck Pl #2808,HS,15600,5135,€,☹,1.21,64
Minna,Amigon,F,minna_amigon@yahoo.com,215-422-8694,2371 Jerrold Ave,BSc,6318,1467,€,😊,1.23,62
Abel✈️,Maclead,M,amaclead@gmail.com,631-677-3675,375 St  Rt 17m M,BSc,6753,2404,$,😊,1.19,70
Kiley,Caldarera,F,kiley.caldarera@gmail.com,310-254-3084,37276 St  Rt 17m M,BSc,922,2542,₺,😊,1.62,69
Graciela,Ruta,F,gruta@yahoo.com,440-579-7763,98 Connecticut Ave Nw,PS,6033,3015,€,😭,1.48,77
Cammy,Albares,M,calbares@gmail.com,956-841-7216,56 E Morehead St,MSc,9722,5916,₺,😊,1.79,57
Mattie,Poquette,M,mattie@hotmail.com,602-953-6360,73 State Road 434 E,BSc,7921,1924,€,☹,1.56,70
Meaghan,Garufi,F,meaghan@hotmail.com,931-235-7959,69734 E Carrillo St,PhD,8043,6302,$,😊,1.9,46
Gladys,Rim,M,gladys.rim@hotmail.com,414-377-2880,322 New Horizon Blvd,HS,1575,9362,€,😄,1.89,71
Yuki,Whobrey,M,gladys.rim@hotmail.com,313-341-4470,1 State Route 27,PhD,13942,2975,€,😄,1.46,63
Fletcher,Flosi,M,fletcher.flosi@yahoo.com,815-426-5657,394 Manchester Blvd,BSc,4710,2308,$,☹,1.23,65
Bette,Nicka,F,bette_nicka@hotmail.com,610-492-4643,6 S 33rd St,HS,7406,8752,$,😊,1.75,51
Veronika,Inouye,F,vinouye@hotmail.com,610-492-4644,6 Greenleaf Ave,HS,8095,5750,€,😊,1.38,50
Willard,Kolmetz,F,willard@hotmail.com,972-896-4882,618 W Yakima Ave,HS,1851,9196,₺,😊,1.17,45
Maryann🎧,Royster,F,mroyster@gmail.com,518-448-8982,74 S Westgate St,BSc,15655,2089,€,😄,1.93,86
Alisha,Slusarski,F,alisha@gmail.com,732-635-3453,3273 State St,BSc,12998,3162,₺,☹,1.22,70
Allene,Iturbide,F,allene_iturbide@gmail.com,715-530-9863,3274 State St,BSc,5150,6678,$,😊,1.4,83
Chanel,Caudy,F,chanel.caudy@gmail.com,913-899-1103,86 Nw 66th St #8673,PhD,12784,9164,€,😊,1.46,47
Ezekiel,Chui,F,chanel.caudy@gmail.com,410-235-8738,2 Cedar Ave #84,PhD,11216,6397,€,😭,1.16,53
Willow,Kusko,M,wkusko@yahoo.com,410-235-8739,90991 Thorburn Ave,PhD,14048,5004,₺,☹,1.72,84
Bernardo,Figeroa,M,bfigeroa@gmail.com,936-597-3614,386 9th Ave N,PhD,11553,2903,₺,😊,1.29,60
Ammie,Corrio,F,ammie@yahoo.com,614-648-3265,74874 Atlantic Ave,PhD,13407,9281,₺,😊,1.61,58
Francine,Vocelka,M,francine_vocelka@yahoo.com,505-335-5293,366 South Dr,PhD,728,4118,€,😊,1.17,83
Mecnun,Çınar,M,mecnun_cinar@yahoo.com,201-387-9093,34450 Kireçburnu St Sarıyer,HS,2588,6659,₺,😊,1.31,86
Albina ,Glick,M,albina@gmail.com,732-782-6701,4 Ralph Ct,PS,15640,3779,₺,☹,1.89,80
Alishia,Sergi,F,asergi@gmail.com,212-753-2740,2742 Distribution Way,PS,5679,7015,€,😊,1.55,67
Solange,Shinko,M,solange@gmail.com,212-753-2741,426 Wolf St,MSc,13337,5186,$,😊,1.63,47
Jose,Stockham,M,jose@yahoo.com,212-569-4233,128 Bransten Rd,HS,4657,4498,₺,😊,1.18,45
Rozella,Ostrosky,F,rozella.ostrosky@yahoo.com,805-609-1531,17 Morena Blvd,HS,14391,8146,€,☹,1.5,47
Valentine,Gillian,F,valentine_gillian@gmail.com,210-300-6244,775 W 17th St,HS,13481,3265,€,😭,1.63,85
Kati⏱️,Rulapaugh,M,kati.rulapaugh@hotmail.com,785-219-7724,6980 Dorsett Rd,MSc,717,7204,₺,😊,1.86,86
Youlanda,Schemmer,M,kati.rulapaugh@hotmail.com,541-993-2611,6981 Dorsett Rd,MSc,13020,2659,₺,☹,1.94,79
Dyan,Oldroyd,M,doldroyd@hotmail.com,913-645-8918,7219 Woodfield Rd,PhD,10481,5258,₺,😄,1.51,79
Ali Rıza,Tekin,M,arıza_tekin@hotmail.com,907-335-6568,1048 Beykoz St,BSc,12523,2767,₺,😊,1.84,85
Acun,Ilıcalı,M,acun_ilicali@hotmail.com,305-995-2078,678 Teşvikiye İstanbul,HS,7942,1348,€,😄,1.38,48
Erick,Ferencz,M,erick.ferencz@hotmail.com,305-995-2079,20 S Babcock St,HS,12038,3686,€,😄,1.95,57
Fatima,Saylors,F,fsaylors@hotmail.com,952-479-2375,2 Lighthouse Ave,HS,13704,1719,$,😊,1.96,50
Jina,Briddick,F,jina_briddick@gmail.com,617-997-5771,38938 Park Blvd,BSc,10636,1847,$,😊,1.63,56
Kanisha,Waycott,F,kanisha_waycott@yahoo.com,323-315-7314,5 Tomahawk Dr,BSc,2891,2275,€,☹,1.36,79
Emerson,Bowley,M,emerson.bowley@gmail.com,608-658-7940,762 S Main St,BSc,15000,9341,€,😊,2,74
Blair,Malet,F,bmalet@yahoo.com,215-794-4519,209 Decker Dr,HS,13732,5334,₺,😭,1.55,90
